caption,id_review,n_photo_user,n_review_user,rating,relative_date,retrieval_date,url_user,username
"one of staff can not describe information clearly, and only tell you incomplete answer when you have a question, and all she do is trying to let you leave. It's really unprofessional when customer want to understand their issue to solve it. â€¦",ChdDSUhNMG9nS0VJQ0FnSUNNczV2ZHRnRRABGhY4VV9BVG5ZVG1zMWxIblVvV3RjSUJ3,0,1,1.0,a month ago,2020-01-28 18:20:04.673904,https://www.google.com/maps/contrib/107225792397568728530?hl=en-IN,Eliza Chen
Staff is very very very smart and lovely and professional ! Especially Billy.paul!  Good service for each clients!,ChdDSUhNMG9nS0VJQ0FnSURrNWVXYTh3RRABGhYzT0gzTVI5ZmJfUkxFZ1I0TFhhVExn,0,7,5.0,6 months ago,2020-01-28 18:20:04.675940,https://www.google.com/maps/contrib/114647267471771488982?hl=en-IN,Suger TIAN
Such terrible service in every possible aspect...,ChdDSUhNMG9nS0VJQ0FnSURNN0xxQ2hBRRABGhZkOXBEWmhWUzZ6cGJXQTZKem1ROXJB,0,15,1.0,a month ago,2020-01-28 18:20:04.677851,https://www.google.com/maps/contrib/113022586449527816701?hl=en-IN,Fred So
"Awful service, no customer representatives available. Every time i come it is over 1 hour wait. Staff is slow and there is just not enough of them to service the customers.",ChZDSUhNMG9nS0VJQ0FnSURZeWJmZlpREAEaFmI4OWd0WVBXYmVrWGVJNXZ1X05oSXc,0,4,1.0,8 months ago,2020-01-28 18:20:04.679453,https://www.google.com/maps/contrib/115101859218725037118?hl=en-IN,Igor Plahin
Good. Easy banking,ChdDSUhNMG9nS0VJQ0FnSUNBeGRManFBRRABGhZLaC1PWlBnMkljbVBBNjA5bkRUUzV3,0,0,4.0,a year ago,2020-01-28 18:20:04.681087,https://www.google.com/maps/contrib/116507997656858701295?hl=en-IN,khaja tajuddin
Doesn't have premier and business banking,ChZDSUhNMG9nS0VJQ0FnSURnamZPYlJREAEaFjJLYTU4X2dRSk9RdnBzTURMT0ZCb3c,0,0,3.0,a year ago,2020-01-28 18:20:04.682693,https://www.google.com/maps/contrib/114576167939735762720?hl=en-IN,C Popov
Really unfriendly and utterly useless,ChdDSUhNMG9nS0VJQ0FnSUN3MWRmRXZnRRABGhZnLUtUdTZWQ0xRWTBUVFhYOEpwNEhn,0,0,1.0,a year ago,2020-01-28 18:20:04.684276,https://www.google.com/maps/contrib/113756160026334445548?hl=en-IN,Thomas Fodor
"The cash machine does not charge you for money withdrawals, so that's a good thing",ChdDSUhNMG9nS0VJQ0FnSURBM1AtQzhBRRABGhZGQ2NQYXI1aTA3elpaTnhjcm4xNlp3,0,0,4.0,2 years ago,2020-01-28 18:20:04.685877,https://www.google.com/maps/contrib/114277427103874256116?hl=en-IN,Abid Hussain
Good,ChdDSUhNMG9nS0VJQ0FnSURnaWNHeTV3RRABGhY2UEJJcHlDNHZqc1NuMTBNNWdLR2Jn,0,1,3.0,a year ago,2020-01-28 18:20:04.687465,https://www.google.com/maps/contrib/103150108396166776569?hl=en-IN,Sara Jhonesr
,ChZDSUhNMG9nS0VJQ0FnSUR3NG92cmFBEAEaFnlPT09jVmVJZHhUcU51Mk8xeWJuT3c,0,0,1.0,a year ago,2020-01-28 18:20:04.689202,https://www.google.com/maps/contrib/115098660909433752960?hl=en-IN,Ana Infante
,ChZDSUhNMG9nS0VJQ0FnSUNBOHJyT0VREAEaFlNLMUJzS1BMN2d3UFIzUlE5RWIxc0E,0,0,1.0,2 years ago,2020-01-28 18:20:04.690935,https://www.google.com/maps/contrib/100206765547966686479?hl=en-IN,Leyla Inan
